id;libelle;date_butoire;repetition;duree_estime;lieu;url;description
1;withdrawal Avon rich;2021-09-28;TRIMESTRIEL;64152;matrices;https://aymard.fr;../fake-data/blob/hipster.txt
2;methodologies;2021-09-28;HEDBOMADAIRE;65370;bifurcated virtual;http://zaché.info;../fake-data/blob/hipster.txt
3;Saint-Dominique c state;2021-09-28;ANNUEL;69872;proactive a;https://catherine.net;../fake-data/blob/hipster.txt
4;synthesizing;2021-09-28;SEMESTRIEL;83739;Saint-Bernard optical;http://daniel.net;../fake-data/blob/hipster.txt
5;Movies bypass Avon;2021-09-29;ANNUEL;60871;integrate;https://valentine.fr;../fake-data/blob/hipster.txt
6;TCP ADP Manager;2021-09-28;ANNUEL;26223;navigate Du Chips;http://aymon.org;../fake-data/blob/hipster.txt
7;applications optimize Expanded;2021-09-29;BIMENSUEL;64811;Account;http://libère.fr;../fake-data/blob/hipster.txt
8;Rubber b;2021-09-28;TRIMESTRIEL;6553;Consultant;https://brunehaut.eu;../fake-data/blob/hipster.txt
9;purple;2021-09-29;SEMESTRIEL;36024;Plastic Macédoine card;http://chloé.name;../fake-data/blob/hipster.txt
10;homogeneous;2021-09-28;JOURNALIER;29963;Molière;http://silvère.org;../fake-data/blob/hipster.txt
